blocks_x,blocks_y,time
1,1,413391
2,1,206960
3,1,139083
4,1,103514
5,1,84094.6
6,1,71178.8
7,1,61475.2
8,1,51994.1
9,1,48541.3
10,1,42268
11,1,39022.4
12,1,35749.1
13,1,32521.9
14,1,32391.5
15,1,29277.5
16,1,26034.9
17,1,26039.7
18,1,25941.5
19,1,22801
20,1,22787.6
21,1,22705.1
22,1,19557.5
23,1,19517.4
24,1,19535.6
25,1,19465.2
26,1,16268.8
27,1,16282.3
28,1,16302.4
29,1,16286.6
30,1,16290.3
31,1,16245.9
32,1,13052.9
33,1,13049.5
34,1,13039.1
35,1,13067
36,1,13064.9
37,1,13061.6
38,1,13068.4
39,1,13062.6
40,1,13050.4
41,1,13029.8
42,1,13024.9
43,1,9814.57
44,1,9818.14
45,1,9826.52
46,1,9828.41
47,1,9806.73
48,1,9802.62
49,1,9807.91
50,1,9814.33
51,1,9819.13
52,1,9830.53
53,1,9834.27
54,1,9817.67
55,1,9794.04
56,1,9787.13
57,1,9783.82
58,1,9785.49
59,1,9780.49
60,1,9779.07
61,1,9778.02
62,1,9775.41
63,1,9777.4
64,1,6557.82
65,1,6557.88
66,1,6560.35
67,1,6560.02
68,1,6559.28
69,1,6557.43
70,1,6560.79
71,1,6559.16
72,1,6558.27
73,1,6560.07
74,1,6558.3
75,1,6561.3
76,1,6560.42
77,1,6558.76
78,1,6558.61
79,1,6560.7
80,1,6560.61
81,1,6561.07
82,1,6561.38
83,1,6561
84,1,6561.31
85,1,6561.48
86,1,6561.69
87,1,6559.89
88,1,6561.29
89,1,6561.58
90,1,6561.6
91,1,6561.31
92,1,6561.15
93,1,6559.99
94,1,6562.49
95,1,6559.73
96,1,6559.72
97,1,6561.73
98,1,6562.19
99,1,6560.02
100,1,6560.09
101,1,6560.47
102,1,6562.1
103,1,6560.16
104,1,6562.98
105,1,6563.1
106,1,6562.19
107,1,6560.96
108,1,6562.95
109,1,6584.78
110,1,6583.89
111,1,6585.57
112,1,6588.95
113,1,6589.16
114,1,6587.28
115,1,6587.79
116,1,6588.5
117,1,6590.85
118,1,6591.77
119,1,6589.27
120,1,6589.43
121,1,6592.12
122,1,6591.88
123,1,6592.62
124,1,6592.17
125,1,6590.83
126,1,6591.2
127,1,6593.14
128,1,6593.56
