blocks_x,blocks_y,time
1,1,342757
2,1,171464
3,1,115242
4,1,85799.7
5,1,69739.5
6,1,59025.3
7,1,50980.2
8,1,42962.6
9,1,40272.2
10,1,34929.3
11,1,32237.5
12,1,29558.5
13,1,26881.1
14,1,26875.6
15,1,24199.6
16,1,21522.3
17,1,21523.7
18,1,21523.8
19,1,18845.1
20,1,18844.3
21,1,18839.6
22,1,16165.4
23,1,16166.8
24,1,16165.3
25,1,16164.4
26,1,13481.3
27,1,13482.3
28,1,13483
29,1,13484.5
30,1,13483.9
31,1,13481.9
32,1,10802.5
33,1,10803.2
34,1,10808
35,1,10806.3
36,1,10805.3
37,1,10806.9
38,1,10804
39,1,10802.9
40,1,10802.6
41,1,10798.4
42,1,10801.6
43,1,8125.15
44,1,8121.29
45,1,8125.2
46,1,8122.97
47,1,8122.61
48,1,8125.21
49,1,8121.97
50,1,8125.11
51,1,8125.48
52,1,8125.6
53,1,8125.2
54,1,8123.48
55,1,8123.09
56,1,8121.25
57,1,8125.83
58,1,8123.15
59,1,8121.86
60,1,8127.32
61,1,8122.37
62,1,8116.27
63,1,8123.36
64,1,5449.28
65,1,5444.94
66,1,5445.74
67,1,5448.9
68,1,5445.76
69,1,5445.5
70,1,5448.93
71,1,5446.03
72,1,5447.37
73,1,5446.95
74,1,5447.18
75,1,5447.11
76,1,5447.77
77,1,5450.06
78,1,5447.47
79,1,5451.74
80,1,5448.44
81,1,5448.66
82,1,5451.78
83,1,5452.42
84,1,5448.27
85,1,5453.04
86,1,5448.83
87,1,5449.44
88,1,5454.38
89,1,5453.18
90,1,5463.86
91,1,5460.54
92,1,5466.88
93,1,5454.32
94,1,5450.67
95,1,5462.27
96,1,5460.83
97,1,5464.2
98,1,5466.33
99,1,5463.77
100,1,5469.79
101,1,5469.71
102,1,5469.5
103,1,5474.1
104,1,5473.24
105,1,5471.46
106,1,5472.46
107,1,5471.79
108,1,5471.89
109,1,5477.3
110,1,5484.64
111,1,5484.88
112,1,5487.92
113,1,5481.06
114,1,5487.21
115,1,5481.93
116,1,5483.24
117,1,5482.3
118,1,5483.6
119,1,5487.4
120,1,5490.86
121,1,5491.47
122,1,5486.6
123,1,5487.55
124,1,5483.98
125,1,5482.81
126,1,5483.09
127,1,5483.32
128,1,2755.86
