blocks_x,blocks_y,time
1,1,
2,1,
3,1,
4,1,859390
5,1,698396
6,1,591581
7,1,510960
8,1,430543
9,1,403640
10,1,349989
11,1,323106
12,1,296217
13,1,269372
14,1,269404
15,1,242551
16,1,215724
17,1,215726
18,1,215707
19,1,188888
20,1,188889
21,1,188846
22,1,162043
23,1,162065
24,1,162030
25,1,162002
26,1,135115
27,1,135162
28,1,135156
29,1,135160
30,1,135104
31,1,135135
32,1,108232
33,1,108266
34,1,108271
35,1,108243
36,1,108269
37,1,108227
38,1,108268
39,1,108277
40,1,108263
41,1,108271
42,1,108125
43,1,81370.6
44,1,81366.1
45,1,81346.9
46,1,81383.2
47,1,81392.9
48,1,81386.4
49,1,81386.9
50,1,81395.8
51,1,81405.9
52,1,81376.1
53,1,81383.8
54,1,81373
55,1,81417.5
56,1,81374.8
57,1,81424.7
58,1,81400.8
59,1,81448.2
60,1,81333.3
61,1,81268.9
62,1,81328
63,1,81322
64,1,54513.9
65,1,54479.2
66,1,54508.3
67,1,54461.1
68,1,54459.8
69,1,54458.2
70,1,54471
71,1,54492.8
72,1,54503.3
73,1,54506.2
74,1,54504.3
75,1,54508.4
76,1,54505.7
77,1,54474.7
78,1,54483.4
79,1,54472.4
80,1,54512.4
81,1,54514.3
82,1,54543.6
83,1,54547
84,1,54504
85,1,54513.9
86,1,54552.5
87,1,54518.8
88,1,54562.4
89,1,54557.1
90,1,54633.8
91,1,54659.8
92,1,54545.7
93,1,54546.3
94,1,54581.4
95,1,54649.9
96,1,54638.6
97,1,54671
98,1,54652.3
99,1,54704.5
100,1,54684.5
101,1,54731.2
102,1,54692.5
103,1,54736.8
104,1,54720.3
105,1,54732.1
106,1,54766.3
107,1,54754.8
108,1,54737.5
109,1,54734.6
110,1,54834.8
111,1,54850
112,1,54828.3
113,1,54841.8
114,1,54868.4
115,1,54875.6
116,1,54882.9
117,1,54852
118,1,54872.6
119,1,54926.1
120,1,54967.3
121,1,54897.9
122,1,54875.5
123,1,54895.8
124,1,54893.8
125,1,54875.9
126,1,54842.5
127,1,54867.2
128,1,27578
