blocks_x,blocks_y,time
1,1,148733
2,1,76358.8
3,1,52146.8
4,1,39681.2
5,1,32191.9
6,1,26123
7,1,22405.1
8,1,19907
9,1,17445.4
10,1,16187.6
11,1,14938.7
12,1,13709.6
13,1,12490.3
14,1,11259.9
15,1,11228.5
16,1,10013.5
17,1,9993.64
18,1,8785.95
19,1,8780.5
20,1,8751.05
21,1,7543.02
22,1,7540.18
23,1,7533.13
24,1,7508.18
25,1,7458.67
26,1,6303.62
27,1,6302.83
28,1,6304.14
29,1,6278.38
30,1,6271.23
31,1,6242.89
32,1,5066.89
33,1,5062.87
34,1,5065.14
35,1,5059.96
36,1,5055.74
37,1,5056.15
38,1,5047.78
39,1,5036.87
40,1,5031.53
41,1,5019.96
42,1,3816.9
43,1,3818.19
44,1,3816.29
45,1,3818.91
46,1,3814.95
47,1,3818.53
48,1,3817.83
49,1,3813.71
50,1,3815.25
51,1,3816.39
52,1,3810.89
53,1,3814.08
54,1,3811.44
55,1,3813.42
56,1,3808.79
57,1,3803.67
58,1,3801.41
59,1,3798.4
60,1,3795.22
61,1,3783.57
62,1,3772.77
63,1,2572.08
64,1,2573.96
65,1,2571.76
66,1,2574.5
67,1,2574.71
68,1,2574.74
69,1,2572.87
70,1,2571.86
71,1,2571.35
72,1,2573.65
73,1,2570.55
74,1,2574.9
75,1,2574.71
76,1,2571.22
77,1,2572.21
78,1,2574.74
79,1,2571.01
80,1,2574.16
81,1,2571.59
82,1,2570.72
83,1,2570.98
84,1,2570.13
85,1,2573.77
86,1,2568.13
87,1,2568.97
88,1,2569.6
89,1,2569.29
90,1,2573.55
91,1,2573.47
92,1,2574.01
93,1,2570.21
94,1,2569.4
95,1,2569.14
96,1,2571.54
97,1,2571.03
98,1,2568.93
99,1,2569.92
100,1,2569.45
101,1,2570.37
102,1,2571.67
103,1,2572.72
104,1,2570.93
105,1,2569.64
106,1,2571.77
107,1,2568.1
108,1,2570.86
109,1,2567.58
110,1,2570.91
111,1,2565.15
112,1,2565.98
113,1,2564.39
114,1,2561.8
115,1,2560.23
116,1,2563.97
117,1,2563.29
118,1,2562.98
119,1,2562.81
120,1,2562.35
121,1,2559.37
122,1,2555.69
123,1,2553.15
124,1,2539.67
125,1,2520.78
126,1,1328.83
127,1,1330.31
128,1,1328.96
