blocks_x,blocks_y,time
1,1,85710.1
2,1,42877.4
3,1,28813.8
4,1,21449.4
5,1,17430.9
6,1,14762.6
7,1,12745.9
8,1,10745.6
9,1,10063.4
10,1,8730.69
11,1,8056.7
12,1,7391.14
13,1,6722.2
14,1,6714.76
15,1,6052.19
16,1,5381.65
17,1,5381.71
18,1,5374.36
19,1,4710.01
20,1,4709.33
21,1,4705.48
22,1,4040.98
23,1,4040.83
24,1,4040.08
25,1,4036.86
26,1,3370.91
27,1,3371.03
28,1,3370.23
29,1,3370.61
30,1,3369.57
31,1,3365.72
32,1,2699.72
33,1,2700.25
34,1,2700.71
35,1,2700.51
36,1,2700.51
37,1,2700.36
38,1,2700.45
39,1,2699.34
40,1,2699.3
41,1,2696.31
42,1,2696
43,1,2029.85
44,1,2029.15
45,1,2029.74
46,1,2029.35
47,1,2029.44
48,1,2029.98
49,1,2030.2
50,1,2029.78
51,1,2029.79
52,1,2029.44
53,1,2030.21
54,1,2029.55
55,1,2029.64
56,1,2030.35
57,1,2028.6
58,1,2028.73
59,1,2028.17
60,1,2029.08
61,1,2029.62
62,1,2031.29
63,1,2029.04
64,1,1359.38
65,1,1359.49
66,1,1358.83
67,1,1358.51
68,1,1358.51
69,1,1359.7
70,1,1359.43
71,1,1359.53
72,1,1358.55
73,1,1359.42
74,1,1358.7
75,1,1358.91
76,1,1358.64
77,1,1358.98
78,1,1358.82
79,1,1358.57
80,1,1358.92
81,1,1359.73
82,1,1359.13
83,1,1359.16
84,1,1359.11
85,1,1358.19
86,1,1358.15
87,1,1358.64
88,1,1358.79
89,1,1358.8
90,1,1359
91,1,1360.6
92,1,1360.61
93,1,1359.96
94,1,1359.79
95,1,1359.64
96,1,1359.85
97,1,1360.03
98,1,1361.02
99,1,1360.55
100,1,1361.49
101,1,1360.84
102,1,1360.89
103,1,1362.55
104,1,1362.02
105,1,1361.42
106,1,1362.33
107,1,1363.51
108,1,1363.87
109,1,1364.54
110,1,1364.1
111,1,1362.23
112,1,1363.91
113,1,1364.39
114,1,1363.34
115,1,1364.02
116,1,1364.85
117,1,1365.6
118,1,1365.36
119,1,1366.76
120,1,1366.5
121,1,1365.51
122,1,1366.18
123,1,1366.04
124,1,1366.75
125,1,1367
126,1,1366.51
127,1,1366.15
128,1,690.094
