blocks_x,blocks_y,time
1,1,799776
2,1,400574
3,1,269108
4,1,201256
5,1,162755
6,1,136977
7,1,117986
8,1,99648.1
9,1,92783.9
10,1,80849.1
11,1,74604.9
12,1,68322.6
13,1,62042.3
14,1,61636
15,1,55784.9
16,1,49593.2
17,1,49554.7
18,1,49248.4
19,1,43346.4
20,1,43336.7
21,1,43083.4
22,1,37136.7
23,1,37137.4
24,1,37109.8
25,1,37064.8
26,1,30911.7
27,1,30919.6
28,1,30941.4
29,1,30935.7
30,1,30926.5
31,1,30934.4
32,1,24650
33,1,24722.3
34,1,24720.7
35,1,24717.7
36,1,24713.2
37,1,24721.5
38,1,24725.2
39,1,24725
40,1,24716.5
41,1,24622
42,1,24556.4
43,1,18388.5
44,1,18381
45,1,18404.1
46,1,18394.8
47,1,18397.5
48,1,18393.7
49,1,18413.4
50,1,18418
51,1,18403.6
52,1,18403.3
53,1,18411.3
54,1,18406.5
55,1,18418.5
56,1,18432.8
57,1,24417.8
58,1,24426.8
59,1,24431.3
60,1,24435.4
61,1,24438.3
62,1,24440.1
63,1,24441.3
64,1,24441.8
65,1,24439.7
66,1,24439.9
67,1,24435.4
68,1,24433
69,1,24428.7
70,1,24423.3
71,1,24408.5
72,1,18352.1
73,1,18353.4
74,1,18353.1
75,1,18354.1
76,1,18353.9
77,1,18354.3
78,1,18354.6
79,1,18355.7
80,1,18355.5
81,1,18355.6
82,1,18356.4
83,1,18355.9
84,1,18356.3
85,1,18357.5
86,1,18357.1
87,1,18357.2
88,1,18358.3
89,1,18358.1
90,1,18358.5
91,1,18359.4
92,1,18358.4
93,1,18359
94,1,18359.7
95,1,18359.3
96,1,18359.3
97,1,18360.4
98,1,18359.2
99,1,18360.2
100,1,18360.8
101,1,18361.2
102,1,18361.6
103,1,18362.3
104,1,18362.1
105,1,18363
106,1,18363.1
107,1,18363.8
108,1,18364
109,1,18363.2
110,1,18364.3
111,1,18364.9
112,1,18365.4
113,1,18366.1
114,1,18365.4
115,1,18366.3
116,1,18367.3
117,1,18366.6
118,1,18367.6
119,1,18368.5
120,1,18368
121,1,18368.3
122,1,18369.5
123,1,18368.7
124,1,18369.6
125,1,18370.1
126,1,18370.2
127,1,18369.9
128,1,18370.6
